,Timestamp,Tweet,remove_stop_words,polarity,sentiment
0,2017-05-08 13:34:36,b'@incredibleindia @my_rajasthan #IncredibleIndia Watch her video BrandAmb #RajasthanTourism @VasundharaBJP @Ra_THORe https://t.co/VnFZZKrIgB',b'@incredibleindia@my_rajasthan#IncredibleIndiaWatchvideoBrandAmb#RajasthanTourism@VasundharaBJP@Ra_THORehttps://t.co/VnFZZKrIgB',0.0,positive
1,2017-05-08 10:21:48,b'RT @cdgchokhidhani: #Relive the #History of Haldi Ghati War at #ChokhiDhani #Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour #Rajasthantourism\xe2\x80\xa6',b'RT@cdgchokhidhani:#Relive#HistoryHaldiGhatiWar#ChokhiDhani#Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour#Rajasthantourism\xe2\x80\xa6',0.0,positive
2,2017-05-08 09:01:16,b'#Relive the #History of Haldi Ghati War at #ChokhiDhani #Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour\xe2\x80\xa6 https://t.co/C5yCiHuJ4i',b'#Relive#HistoryHaldiGhatiWar#ChokhiDhani#Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour\xe2\x80\xa6https://t.co/C5yCiHuJ4i',0.0,positive
3,2017-05-07 11:56:25,b'Village Life \n#rajasthan #rajasthandairies #rajasthantourism #khuri #khuridesert #colours #coloursofindia #ig_indi\xe2\x80\xa6\xe2\x80\xa6 https://t.co/H1898JzBTB',b'VillageLife\n#rajasthan#rajasthandairies#rajasthantourism#khuri#khuridesert#colours#coloursofindia#ig_indi\xe2\x80\xa6\xe2\x80\xa6https://t.co/H1898JzBTB',0.0,positive
4,2017-05-07 11:56:18,b'Village Life \n#rajasthan #rajasthandairies #rajasthantourism #khuri #khuridesert #colours\xe2\x80\xa6 https://t.co/OaFHxR8eaT',b'VillageLife\n#rajasthan#rajasthandairies#rajasthantourism#khuri#khuridesert#colours\xe2\x80\xa6https://t.co/OaFHxR8eaT',0.0,positive
5,2017-05-07 07:34:10,b'#rsrtc #rajasthantourism paid double charges for cold drink 50 rs for 25 rs bottle in midway Jaipur delhi volvo #loot #rajasthan',b'#rsrtc#rajasthantourismpaiddoublechargescolddrink50rs25rsbottlemidwayJaipurdelhivolvo#loot#rajasthan',-0.3,negative
6,2017-05-06 12:44:46,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
7,2017-05-06 12:43:12,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
8,2017-05-06 12:36:23,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
9,2017-05-06 12:36:01,b'#Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps://t.co/VpWAIkyOM5',b'#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps://t.co/VpWAIkyOM5',0.0,positive
