,Hotel,Review
0,Hotel review,"Wonderful ambiance
Wide spread of food items in breakfast special attention by the restaurant staff n chefs
Enjoyed delicious dinner at saffron restaurant accompanied by live music.
Take aways for the travel ahead was the highlight"
1,Hotel review,We stayed the night at this hotel along with my grandmother. Received a very good welcome by the hotel staff with wheelchair which was arranged well in time before our arrival at the hotel. Also Minakshi from the hotel staff was very helpful and her...More
2,Hotel review,"Dear Guest,
Thank you so much for sharing your wonderful experience with us. It gives us immense joy to know that we have been instrumental in making your stay special and memorable. I take great pride in mentioning that our food and beverage outlets have...More"
3,Hotel review,"Monsoon had just arrived, there was a lull the office and kids had there holidays so PROVIDENCE!! we planned to take a short family trip of four days. The next problem was where to go - should we go to Mussoorie or Shimla which were...More"
4,Hotel review,"Dear Guest,
Thank you very much for choosing to stay with Jaipur Marriot Hotel over many other hotel options available in the city.
And I am so happy to read your feedback which highlights so many positive areas of hotel that you found impressive. Feedback...More"
5,Hotel review,well what should i say its a beautiful property. with lost management. I thought i would be pamperpering myself nd my family but i was totally wrong by booking this hotel. The hotel is bright lavish nd beautifull but the rooms nd service is totally...More
6,Hotel review,"This is a perfect located hotel. The service was great. Each staff greets you with a smile from thebtime you enter till you leave.
Delicious breakfast & lunch. Spread for vegetarians is just too delicious. Do not miss it.
Take a high floor with a...More"
7,Hotel review,"Dear Guest,
Thank you for choosing to stay with us and taking time to review your wonderful experience. I am glad that you found the hotel location perfect which is so conveniently reachable because of the close proximity to Airport.
Our wonderful team at Jaipur...More"
8,Hotel review,Place is a boutique hotel in Jodhpur. Partly a residence for some part of the royal family. Mine was a quick business visit. It's a small property with very less to offer in terms of 5 start enmities. Disappointing gym but great service staff. The...More
9,Hotel review,"Good food, ambience and strategic location (located between the city and airport). Cozy comfortable rooms; above all Good Food and obliging/responsive staff. The rooms were large comfortable and aesthetically decorated. When we went, Hot water was not available."
10,Hotel review,Beautiful property with all modern day amenities with the old world palace charm. The two wings blend nicely and the perfect view of Umaid Bhawan Palace at night makes it even more special to book your stay at this place.
11,Hotel review,"We had a lovely stay at Ranbanka Palace.
The room was very clean, the beds were comfy and the bathroom was big.
The pool was perfect to relax after a hot day.
The restaurant has an outdoor area where you can have a perfect dinner...More"
12,Hotel review,"I stayed at the Ranbaka Hotel with a friend on a business trip (twin room) for a couple of nights.
ROOM
The twin room was lovely. Heritage style, very comfortable and good bathroom.
RESTAURANT
Very disappointing. For breakfast the food was ok. Not great but...More"
13,Hotel review,"The location was ideal, about 10-12 km from Ajmer city, so it is quiet place to relax and has a reasonable sized swimming-pool.
The property has large rooms, and the rooms allocated to us also had a designated lounge area outside (on the other side...More"
14,Hotel review,Excellent stay with good location .Pool is also clean and too good...buffet is also tasty.....here we see the perfect and cooperative staff and management. Nice stay...enjoy in pool...classsy hotel...everything is here what you want.More
15,Hotel review,"Dear Akshayjain1980,
Greetings from Country Inn & Suites by Carlson, Ajmer
At the outset, thank you for staying with us and sharing the feedback. Many thanks for appreciating.
We look forward to the opportunity welcoming you soon with us whenever the travel brings you back...More"
16,Hotel review,We went here for birthday celebration of my daughter. Booked two rooms from nearby. This is one of the best resorts we had visited. A bit far from ajmer but nice place. Interior design and decor of the resort are awesome. From galleries to inside...More
17,Hotel review,"Dear Sarvjeet g,
Greetings from Country Inn & Suites by Carlson, Ajmer
At the outset, thank you for staying with us and sharing the feedback. Many thanks for appreciating. Every Guest of ours is a King..
We look forward to the opportunity welcoming you soon...More"
18,Hotel review,More
19,Hotel review,More
20,Hotel review,"The location of the hotel is very good and the good things ends here. The hotel though is huge but the cleaniness is pathetic. Lizards, Spider, dust are static facilities ha. Hardly anything to do in the hotel. Just a stopover hotwl if you are...More"
21,Hotel review,"Dear Agarwalridhi,
Greetings from Country Inn & Suites by Carlson, Ajmer
At the outset, thank you for staying with us and sharing the feedback. Many thanks for appreciating the rooms.
We have noted your valuable feedback with regards to the inconvenience faced.
I have shared...More"
22,Hotel review,"Second year second time visited.
Earlier had said the hotel was damn good ""maybe"" because it was new .
I maintain my rating and opinion .
It's still damn good .
Good service , amazing rooms .
Friendly staff."
23,Hotel review,"Spotless, well appointed, great staff, no fuss on arrival/check out (apart from the inevitable card machine issues). Up to and beyond European standrds. Very happy with my stay. Quick (but basic) breakfast in the morning - good too. Will definitely head here when in Ajmer...More"
24,Hotel review,"Dear Mr. Danial
Thank you for choosing to stay with us and sharing your reviews here on TripAdvisor. It is encouraging to know that you have enjoyed your stay with us and the services provided by us are up to your satisfaction. Your generous feedback...More"
25,Hotel review,Clean and fair size room. The hotel is situated on the main road and its walkable distance to the Sony Ji Ki Nasiya. Good served if also good. Parking Facility is available. The staff is friendly. They arranged a complimentary VIP visit at the dargah....More
26,Hotel review,"Dear Guest,
Thank you for choosing to stay with us and sharing your reviews here on TripAdvisor. It is encouraging to know that you have enjoyed your stay with us and the services provided by us are up to your satisfaction. Your generous feedback has...More"
27,Hotel review,Nice hotel and nice location. Rooms are comfortable and with modern fittings. Staff is very friendly and helps in getting information. They have a complementary VIP visit to ajmer dargah and have separate khadim who would take you for visit very quicly through VIP entry....More
28,Hotel review,"Dear Mr. Arnab,
Thank you for choosing to stay with us and sharing your reviews here on TripAdvisor. It is encouraging to know that you have enjoyed your stay with us and the services provided by us are up to your satisfaction. Your generous feedback...More"
29,Hotel review,we are going to bharat vikas parishad national adhivesan and stay this hotel its good experience small room but good property staff are good food are testy hotel has tanisa shopping shop good location..More
30,Hotel review,"Dear Guest,
Thank you for choosing to stay with us and sharing your reviews here on TripAdvisor. It is encouraging to know that you have enjoyed your stay with us and the services provided by us are up to your satisfaction. Your generous feedback has...More"
31,Hotel review,Very good experience of stay at this hotel ... Very nice location .. Very calm and peaceful environment .. Value for money hotel ... Service is also very good. Nice place for relaxation ... Couples should enjoy there
32,Hotel review,"Dear Ridhi,
Thanks for staying with us and for the ratings. Thanks for praising our location. Hope you enjoyed your stay here. It's been a joy serving you. We would love to welcome you back."
33,Hotel review,"One night stay was wonderful. Simple accommodation but comfortable and rewarding with a good nights rest. The old world charm of this Raj hunting lodge also adds mush to the visit. My parents greatly enjoyed their stay here also, walking around the lovely tranquil grounds....More"
34,Hotel review,"Dear Guest,
I would like to begin by thanking you for your and love to see your ratings and reviews and sharing your stay experience. Being our special guest we appreciate for choosing our Hotel for your stay purpose and love to serve you always....More"
35,Hotel review,"Though it is located off circuit, it is a great place to stay. Complete heritage building with old style lamps, switches, doors. It is little off the road inside the farms. It might be scary if you reaching here for the first time and that...More"
36,Hotel review,"Dear Harish,
Thanks for staying with us and writing a wonderful review. Its been a pleasure serving you. We would love to welcome you back."
37,Hotel review,"This Hotel is located on the outskirts of a small town named bijainagar ( Ajmer ) ....Some great landscaping around the palace which makes it an awesome place to stay
swimming pool is very well maintained The open air restaurant is also very romantic with...More"
38,Hotel review,"Dear Manoj,
Thanks for staying with us and appreciating our accommodation and services with a very warm feedback. Your touching remarks are highly inspiring and motivating for all of us. We would love to be of service to you again."
39,Hotel review,"Superb suite (Prince's suite), unfortunately, a squirrel had gained access to the wire cage around the intake for the air con unit disturbing my wife's sleep with its scratching against the wire. Dining area uninspiring with poor lighting and no feel. Food average. Sat in...More"
40,Hotel review,"Dear Guest,
Thanks for staying at Bijay Niwas Palace and taking out your valuable time to write a review. Our apologies for your disappointment. Your feedback has been shared with the entire team and corrective measures have been taken to avoid such instances in future."
41,Hotel review,"We had taken the summer package offered by the hotel. Location wise its great but service and facilities are pathetic and totally desi and no way a 5 star. The rooms where not well maintained and the tiles in our room 2163 where creaking, the...More"
42,Hotel review,"We got married at this property recently. The staff was extremely courteous and prompt. All our guests enjoyed their stay as well. Food was fairly decent (could've been slightly better). The entire event was well managed.
Couple of specific instances where the hotel was especially...More"
43,Hotel review,"Dear Guest,
Thank you for sparing the time in posting such a wonderful review.
We are delighted that you had a memorable stay at The Radisson Blu Udaipur Palace Resort & Spa
Thank you for your gracious comments complimenting the hotel, the rooms, the food,...More"
44,Hotel review,Proeprty is really nice and gives a feel of staying in a palace....if you are planning to go make sure to book lake view rooms...food was also great...only problem was that it was full due to the long weekend and we had to wait for...More
45,Hotel review,"Most amazing thing about this hotel is, It's location. Rooms are having amazing facilities, Attractive ambiance. Room service is not so fast. Staff is friendly and responsive. Food quality is so good so far. And they have variety of delicious food. Only bad thing is,...More"
46,Hotel review,"Excellent hotel accompanied with a great Location(near. Fateh sagar lake) The staff is very friendly, hospitable and this hotel is just the one for families.This hotel is absolute value for money and i would recommend this to all tourists. 👌👌"
47,Hotel review,"If amazing locality, ambience and weather was not enough to make an amazing vacation, this place has the best hospitality and an amazing team of chefs that not only massage your ego but also the taste buds. Perfect weekend get away to unwind. Highly recommended....More"
48,Hotel review,I stayed with my family for 3 day trip to Udaipur in early March. We had an excellent time at this heritage property. Truly a Lalit experience. Best part of the property is that it is facing Fateh Sagar lake and view is mesmerising. We...More
49,Hotel review,"Dear Mr. Satyam,
Namaskar!
Thank you for choosing to stay at The LaLiT Laxmi Vilas Palace.
We are glad that you enjoyed your stay at our 106 year old Palace. Indeed the views from our Palace are truly magnificent, with sprawling lawn space overlooking the...More"
50,Hotel review,Me and my friends came to attend wedding at lalit. It was awesome experience from welcoming to check out it look like we are at Royal palace. Great hospitality and view of lake is also best. Ravi at front office helped us in city tour....More
51,Hotel review,"Being in the heart of the city every tourist destinations is within minutes.The hotel being at an height is overlooking Fateh Sagar lake amazing view.Hospitality at its best.The rooms were very spacious, easily one extra bed could be adjusted.The hotel had only snooker as the...More"
